Datetime,Global_active_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Global_reactive_power,Voltage,Global_intensity,Global_active_power_is_short_imputed,Global_reactive_power_is_short_imputed,Voltage_is_short_imputed,Global_intensity_is_short_imputed,Sub_metering_1_is_short_imputed,Sub_metering_2_is_short_imputed,Sub_metering_3_is_short_imputed,Global_active_power_is_profile_imputed,Global_reactive_power_is_profile_imputed,Voltage_is_profile_imputed,Global_intensity_is_profile_imputed,Sub_metering_1_is_profile_imputed,Sub_metering_2_is_profile_imputed,Sub_metering_3_is_profile_imputed
2006-12-16 17:00:00,152.024,0.0,19.0,607.0,0.22899999,234.64388,18.099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 18:00:00,217.932,0.0,403.0,1012.0,0.08003333,234.58015,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 19:00:00,204.01399,0.0,86.0,1001.0,0.08523333,233.2325,14.503333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 20:00:00,196.114,0.0,0.0,1007.0,0.0751,234.0715,13.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 21:00:00,183.388,0.0,25.0,1033.0,0.07666667,237.15866,13.046666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 22:00:00,132.008,0.0,8.0,266.0,0.056166667,238.76,9.523334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-16 23:00:00,123.696,0.0,5.0,0.0,0.07143333,240.61966,8.896667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 00:00:00,112.948,0.0,28.0,0.0,0.10243333,240.96184,8.126667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 01:00:00,200.964,0.0,1514.0,0.0,0.13693333,240.44833,14.246667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 02:00:00,95.236,0.0,34.0,0.0,0.07823334,245.81866,6.8700004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 03:00:00,99.732,0.0,46.0,0.0,0.07953333,244.51349,7.2066665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 04:00:00,132.946,0.0,34.0,533.0,0.09346667,243.8555,9.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 05:00:00,119.804,0.0,10.0,279.0,0.060233336,243.71017,8.566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 06:00:00,78.198,0.0,43.0,0.0,0.09483334,244.14151,5.5299997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 07:00:00,97.201996,0.0,10.0,0.0,0.059800003,241.84567,6.8033338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 08:00:00,113.434,0.0,45.0,0.0,0.11856666,241.31151,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 09:00:00,152.944,0.0,439.0,0.0,0.07923333,238.84784,10.973333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 10:00:00,217.734,533.0,1341.0,969.0,0.1946,235.441,15.533334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 11:00:00,148.26,567.0,301.0,1031.0,0.2007,236.92467,10.493333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-17 12:00:00,114.951996,0.0,32.0,1039.0,0.29403335,237.78467,8.136667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
